p_noise,trace_witness,label,round,hamiltonian
0.0,-1.028208208976244,1,4,H5
0.5,1.8921659277022993,-1,4,H5
0.25,0.43197885936302766,-1,4,H5
0.125,-0.29811467480660864,1,4,H5
0.1875,0.06693209227820934,-1,4,H5
0.15625,-0.11559129126419931,1,4,H5
0.171875,-0.024329599492994847,1,4,H5
0.1796875,0.02130124639260733,-1,4,H5
0.17578125,-0.0015141765501938687,1,4,H5
0.177734375,0.009893534921206704,-1,4,H5
0.1767578125,0.004189679185506445,-1,4,H5
0.17626953125,0.0013377513176563438,-1,4,H5
0.176025390625,-8.821261626879018e-05,1,4,H5
0.1761474609375,0.0006247693506937768,-1,4,H5
0.17608642578125,0.00026827836721260434,-1,4,H5
0.176055908203125,9.003287547171279e-05,-1,4,H5
0.1760406494140625,9.101296015723292e-07,-1,4,H5
0.17603302001953125,-4.365124333371995e-05,1,4,H5
0.17603683471679688,-2.1370556866018298e-05,1,4,H5
0.1760387420654297,-1.0230213632222984e-05,1,4,H5
0.1760396957397461,-4.660042015491861e-06,1,4,H5
0.1760401725769043,-1.87495620668221e-06,1,4,H5
0.0,-2.1392728101568945,1,8,H5
0.5,0.6646404576085505,-1,8,H5
0.25,-0.7373161762741721,1,8,H5
0.375,-0.03633785933281086,1,8,H5
0.4375,0.31415129913786966,-1,8,H5
0.40625,0.1389067199025296,-1,8,H5
0.390625,0.051284430284859434,-1,8,H5
0.3828125,0.0074732854760242995,-1,8,H5
0.37890625,-0.014432286928393434,1,8,H5
0.380859375,-0.003479500726184359,1,8,H5
0.3818359375,0.0019968923749198175,-1,8,H5
0.38134765625,-0.0007413041756322847,1,8,H5
0.381591796875,0.0006277940996436415,-1,8,H5
0.3814697265625,-5.675503799429382e-05,1,8,H5
0.38153076171875,0.00028551953082492365,-1,8,H5
0.381500244140625,0.00011438224641521777,-1,8,H5
0.3814849853515625,2.8813604210531363e-05,-1,8,H5
0.38147735595703125,-1.3970716892047763e-05,1,8,H5
0.3814811706542969,7.4214436593944555e-06,-1,8,H5
0.38147926330566406,-3.2746366163960428e-06,1,8,H5
0.38148021697998047,2.0734035217628843e-06,-1,8,H5
