p_noise,trace_witness,label,round
0.0,-1.8729389528590659,1,4
0.5,4.088036562525914,-1,4
0.25,2.551228889897367,-1,4
0.125,0.8684004799870932,-1,4
0.0625,-0.35080787861110535,1,4
0.09375,0.29437476831732856,-1,4
0.078125,-0.01902883761734761,1,4
0.0859375,0.13993369158715738,-1,4
0.08203125,0.06102216165720224,-1,4
0.080078125,0.02113966242196591,-1,4
0.0791015625,0.0010912331931832164,-1,4
0.07861328125,-0.00895983818756202,1,4
0.078857421875,-0.003932062593985486,1,4
0.0789794921875,-0.0014198548625032614,1,4
0.07904052734375,-0.0001641708924255969,1,4
0.079071044921875,0.0004635661337822061,-1,4
0.0790557861328125,0.00014970636679828564,-1,4
0.07904815673828125,-7.230076250114292e-06,1,4
0.07905197143554688,7.123869191102972e-05,-1,4
0.07905006408691406,3.2004444490557615e-05,-1,4
0.07904911041259766,1.2387218285198065e-05,-1,4
0.07904863357543945,2.578579558792926e-06,-1,4
0.0,-1.9396704930079247,1,8
0.5,4.021710878358583,-1,8
0.25,3.4004354679472137,-1,8
0.125,1.8872229467340436,-1,8
0.0625,0.3763690047095628,-1,8
0.03125,-0.6633758335045684,1,8
0.046875,-0.11630763660005311,1,8
0.0546875,0.13654831769745696,-1,8
0.05078125,0.01178424447837884,-1,8
0.048828125,-0.051841350115582926,1,8
0.0498046875,-0.019924015182658423,1,8
0.05029296875,-0.00404381932106565,1,8
0.050537109375,0.0038767205534369666,-1,8
0.0504150390625,-8.192132413141137e-05,1,8
0.05047607421875,0.0018978064962855458,-1,8
0.050445556640625,0.0009080443231436024,-1,8
0.0504302978515625,0.0004130869358554279,-1,8
0.05042266845703125,0.0001655891652091665,-1,8
0.050418853759765625,4.183551040810515e-05,-1,8
0.05041694641113281,-2.0042509390458263e-05,1,8
0.05041790008544922,1.0896599876287355e-05,-1,8
0.050417423248291016,-4.572929915028223e-06,1,8
0.0,-1.8159153340696466,1,12
0.5,4.145852862620415,-1,12
0.25,2.8973277741580885,-1,12
0.125,1.4657306089395794,-1,12
0.0625,0.16068521424147592,-1,12
0.03125,-0.7271093216997203,1,12
0.046875,-0.2603274735597747,1,12
0.0546875,-0.04436472111850644,1,12
0.05859375,0.05949220046819195,-1,12
0.056640625,0.007900705020932056,-1,12
0.0556640625,-0.01814726597283968,1,12
0.05615234375,-0.005102157711947164,1,12
0.056396484375,0.0014045465153585748,-1,12
0.0562744140625,-0.0018474864049458292,1,12
0.05633544921875,-0.00022114026876238202,1,12
0.056365966796875,0.0005917855270209868,-1,12
0.0563507080078125,0.00018534323197039182,-1,12
0.05634307861328125,-1.7893367446876474e-05,1,12
0.056346893310546875,8.372621996903529e-05,-1,12
0.05634498596191406,3.29167481920023e-05,-1,12
0.056344032287597656,7.511770855533895e-06,-1,12
0.05634355545043945,-5.190778175137578e-06,1,12
0.0,-0.7241214433911989,1,16
0.5,5.218633811312559,-1,16
0.25,3.351628042804488,-1,16
0.125,1.9533824226505836,-1,16
0.0625,0.8552125520006619,-1,16
0.03125,0.13863807950263546,-1,16
0.015625,-0.27265061387896095,1,16
0.0234375,-0.06222005058826181,1,16
0.02734375,0.039376826379378435,-1,16
0.025390625,-0.011126102856051173,1,16
0.0263671875,0.014198792268679788,-1,16
0.02587890625,0.0015547580414060624,-1,16
0.025634765625,-0.00478106209756804,1,16
0.0257568359375,-0.0016120003231953062,1,16
0.02581787109375,-2.8333323694118562e-05,1,16
0.025848388671875,0.0007632842995315414,-1,16
0.0258331298828125,0.0003674934747913694,-1,16
0.02582550048828125,0.0001695845724795364,-1,16
0.025821685791015625,7.062674865182528e-05,-1,16
0.025819778442382812,2.1146993547244142e-05,-1,16
0.025818824768066406,-3.5930948062423695e-06,1,16
0.02581930160522461,8.776966938017772e-06,-1,16
