p_noise,trace_witness,label,round,hamiltonian
0.0,-1.028208208976244,1,4,H5
0.5,4.812540064380842,-1,4,H5
0.25,2.8194374241762787,-1,4,H5
0.125,1.2542603676415434,-1,4,H5
0.0625,0.22024709084337607,-1,4,H5
0.03125,-0.37484174028321204,1,4,H5
0.046875,-0.07031112296832298,1,4,H5
0.0546875,0.07667783588154334,-1,4,H5
0.05078125,0.003615379931265844,-1,4,H5
0.048828125,-0.03323929326006775,1,4,H5
0.0498046875,-0.014784883753061029,1,4,H5
0.05029296875,-0.005577992630556333,1,4,H5
0.050537109375,-0.0009796176474251295,1,4,H5
0.0506591796875,0.0013183031777787846,-1,4,H5
0.05059814453125,0.00016944829160170372,-1,4,H5
0.050567626953125,-0.0004050582941219627,1,4,H5
0.0505828857421875,-0.00011779840558581722,1,4,H5
0.05059051513671875,2.5826591892819106e-05,-1,4,H5
0.050586700439453125,-4.5985494621564316e-05,1,4,H5
0.05058860778808594,-1.0079348308156266e-05,1,4,H5
0.050589561462402344,7.873647556250196e-06,-1,4,H5
0.05058908462524414,-1.1028439348970132e-06,1,4,H5
0.0,-2.1392728101568945,1,8,H5
0.5,3.468553725373995,-1,8,H5
0.25,2.1027069272349044,-1,8,H5
0.125,0.6558552205855284,-1,8,H5
0.0625,-0.5127741805789603,1,8,H5
0.09375,0.12003884293347847,-1,8,H5
0.078125,-0.18323172187813908,1,8,H5
0.0859375,-0.02844370578467821,1,8,H5
0.08984375,0.04656977542367784,-1,8,H5
0.087890625,0.009258064637621327,-1,8,H5
0.0869140625,-0.009543814203332585,1,8,H5
0.08740234375,-0.0001306543787621961,1,8,H5
0.087646484375,0.004566756338377595,-1,8,H5
0.0875244140625,0.002218814268264896,-1,8,H5
0.08746337890625,0.0010442708276685864,-1,8,H5
0.087432861328125,0.0004568559527843852,-1,8,H5
0.0874176025390625,0.0001631127200439897,-1,8,H5
0.08740997314453125,1.623215401783118e-05,-1,8,H5
0.08740615844726562,-5.721036651340494e-05,1,8,H5
0.08740806579589844,-2.0488919784525383e-05,1,8,H5
0.08740901947021484,-2.1283362678647944e-06,1,8,H5
0.08740949630737305,7.051920529216327e-06,-1,8,H5
0.0,-2.12366681748114,1,12,H5
0.5,3.275809622262395,-1,12,H5
0.25,2.040545910865211,-1,12,H5
0.125,0.6096117655973655,-1,12,H5
0.0625,-0.5426661662691943,1,12,H5
0.09375,0.07972066737798116,-1,12,H5
0.078125,-0.21905389187938545,1,12,H5
0.0859375,-0.0666726637363077,1,12,H5
0.08984375,0.007258968459091103,-1,12,H5
0.087890625,-0.02952143026117761,1,12,H5
0.0888671875,-0.011085086913218453,1,12,H5
0.08935546875,-0.0019015494464750399,1,12,H5
0.089599609375,0.002681583679288224,-1,12,H5
0.0894775390625,0.0003907360684547584,-1,12,H5
0.08941650390625,-0.0007552268998785305,1,12,H5
0.089447021484375,-0.00018220047481955215,1,12,H5
0.0894622802734375,0.00010427903124199389,-1,12,H5
0.08945465087890625,-3.895791308285157e-05,1,12,H5
0.08945846557617188,3.266126124336355e-05,-1,12,H5
0.08945655822753906,-3.148150377552117e-06,1,12,H5
0.08945751190185547,1.4756599318876962e-05,-1,12,H5
0.08945703506469727,5.80423544215003e-06,-1,12,H5
0.0,-2.307669128786068,1,16,H5
0.5,3.0608185522897315,-1,16,H5
0.25,1.8637658169564224,-1,16,H5
0.125,0.38950460769587036,-1,16,H5
0.0625,-0.7678609463601427,1,16,H5
0.09375,-0.1466399932981656,1,16,H5
0.109375,0.13145275368802872,-1,16,H5
0.1015625,-0.005013628303043832,1,16,H5
0.10546875,0.0638550854563272,-1,16,H5
0.103515625,0.02958078638246253,-1,16,H5
0.1025390625,0.01232374126418953,-1,16,H5
0.10205078125,0.0036651155480718345,-1,16,H5
0.101806640625,-0.0006717392941999051,1,16,H5
0.1019287109375,0.0014973171080951142,-1,16,H5
0.10186767578125,0.0004129461884381097,-1,16,H5
0.101837158203125,-0.00012935722798222693,1,16,H5
0.1018524169921875,0.00014180431088670065,-1,16,H5
0.10184478759765625,6.225999187522979e-06,-1,16,H5
0.10184097290039062,-6.156499995468856e-05,1,16,H5
0.10184288024902344,-2.7669346773978587e-05,1,16,H5
0.10184383392333984,-1.0721635390842366e-05,1,16,H5
0.10184431076049805,-2.247808501248949e-06,1,16,H5
0.0,-2.2164959228460006,1,20,H5
0.5,3.0992991806504877,-1,20,H5
0.25,1.8911286734628576,-1,20,H5
0.125,0.4586627254899946,-1,20,H5
0.0625,-0.6790752643037885,1,20,H5
0.09375,-0.06649192797187015,1,20,H5
0.109375,0.20629725686096495,-1,20,H5
0.1015625,0.0725424993756285,-1,20,H5
0.09765625,0.0036963371111478766,-1,20,H5
0.095703125,-0.031228631159156403,1,20,H5
