round,time,size,score,b_value,separable_success,separable_success_rate
5,0.36232638835162095,41,0.898409058681048,-1.2128143799368396,50/50,1.0
10,0.7246527767032419,49,0.5825989845347692,-1.1513770105536896,50/50,1.0
15,1.0869791650548628,43,0.2391150653804841,-1.1273370644032366,50/50,1.0
20,1.4493055534064838,43,0.034230055456716535,-1.0892217518061453,50/50,1.0
25,1.8116319417581048,43,-0.4490527841280856,-1.2294662995560763,50/50,1.0
