round,time,size,score,b_value,separable_success,separable_success_rate
5,0.36232638835162095,41,0.8874205873098853,-1.2530506029526949,100/100,1.0
10,0.7246527767032419,49,0.5705405791047269,-1.2170187674087398,100/100,1.0
15,1.0869791650548628,43,0.21167085158554744,-1.158781780358176,100/100,1.0
20,1.4493055534064838,43,-0.05833341745812093,-1.2077033730310103,100/100,1.0
