round,time,size,score,b_value,separable_success,separable_success_rate
5,0.36232638835162095,47,0.8801619614539282,-1.1528198310325135,30/30,1.0
10,0.7246527767032419,62,0.6107656923965243,-1.0922659568561714,30/30,1.0
15,1.0869791650548628,71,0.34874519181264707,-0.9932906896180985,30/30,1.0
20,1.4493055534064838,64,-0.0503285612923321,-1.0574441651213555,30/30,1.0
