round,time,size,score,b_value,separable_success,separable_success_rate
5,0.36232638835162095,43,0.8928364274377107,-1.1178049399882652,20/20,1.0
10,0.7246527767032419,48,0.6321349852021105,-1.0351293145670695,20/20,1.0
15,1.0869791650548628,43,0.24383026637077299,-1.0878276278751102,20/20,1.0
20,1.4493055534064838,42,-0.017645682300374554,-1.1155737001736639,20/20,1.0
