round,time,size,score,b_value,separable_success,separable_success_rate
5,0.36232638835162095,47,0.8865363838460669,-1.2630081476677009,100/100,1.0
10,0.7246527767032419,62,0.5694892730642975,-1.2628831108407133,100/100,1.0
15,1.0869791650548628,71,0.23163585461950276,-1.1256659899327848,100/100,1.0
20,1.4493055534064838,64,-0.016226079591416864,-1.143136065467366,100/100,1.0
