round,time,size,score,b_value,separable_success,separable_success_rate
5,0.36232638835162095,47,0.904335266930417,-1.0291000519049796,20/20,1.0
10,0.7246527767032419,62,0.6488256138850814,-1.0459468911893182,20/20,1.0
15,1.0869791650548628,71,0.2878513961198508,-1.0418558211635325,20/20,1.0
20,1.4493055534064838,64,0.09543981384341782,-0.9849639352834618,20/20,1.0
