round,time,size,score,b_value,separable_success,separable_success_rate
5,0.36232638835162095,43,0.8923562027121155,-1.2324834568195056,50/50,1.0
10,0.7246527767032419,48,0.5767898994500853,-1.2111450948586713,50/50,1.0
15,1.0869791650548628,43,0.2212691704443277,-1.1579542240970542,50/50,1.0
20,1.4493055534064838,42,-0.02361647726156102,-1.1121604369459563,50/50,1.0
