round,time,size,score,b_value,separable_success,separable_success_rate
5,0.36232638835162095,43,0.8827230642717041,-1.2879918260062373,100/100,1.0
10,0.7246527767032419,48,0.5945220255442893,-1.2273872183450254,100/100,1.0
15,1.0869791650548628,43,0.22508820253036932,-1.1321311944862316,100/100,1.0
20,1.4493055534064838,42,-0.026290348970775534,-1.150689587267918,100/100,1.0
