round,time,size,score,b_value,separable_success,separable_success_rate
5,0.36232638835162095,41,0.8852716884282197,-1.076669702068211,20/20,1.0
10,0.7246527767032419,49,0.5744487438647625,-1.0803750988031455,20/20,1.0
15,1.0869791650548628,43,0.24668747747603814,-1.0312754643556012,20/20,1.0
20,1.4493055534064838,43,-0.03015575037790086,-1.0782450596377766,20/20,1.0
