round,time,size,score,b_value,separable_success,separable_success_rate
5,0.36232638835162095,41,0.8877033235975967,-0.9659430643980352,10/10,1.0
10,0.7246527767032419,49,0.6368416903915117,-0.9353805579969039,10/10,1.0
15,1.0869791650548628,43,0.2929641542576271,-0.9790724830243258,10/10,1.0
20,1.4493055534064838,43,0.06906713496441474,-0.969486152694454,10/10,1.0
