round,time,size,score,b_value,separable_success,separable_success_rate
5,0.36232638835162095,47,0.9275236287150208,-1.201729222370448,50/50,1.0
10,0.7246527767032419,62,0.5919346098821368,-1.2210595296415412,50/50,1.0
15,1.0869791650548628,71,0.2794622801903459,-1.0935613967159383,50/50,1.0
20,1.4493055534064838,64,-0.031350963730538695,-1.0740791616289656,50/50,1.0
